application_id,application_date,partner,city,channel,product,stage,loan_amount,processing_days,sla_status,approval_status,disbursed,api_issue,uat_status,conversion_rate_pct,estimated_partner_revenue,portfolio_project
APP0001,2026-03-29,Partner_K,Ahmedabad,Digital Campaign,Personal Loan,Approved,104886,10,SLA Breach,Yes,No,No,Not Required,3.7,0.0,Customer Journey Transformation
APP0002,2026-06-10,Partner_C,Chennai,Partner,Education Loan,Lead,2266891,6,SLA Breach,Pending,No,No,Not Required,14.9,0.0,Partner Growth & Lending Operations
APP0003,2026-01-15,Partner_L,Hyderabad,Website,Education Loan,Documents,2753882,10,SLA Breach,Pending,No,No,Not Required,14.7,0.0,Partner Growth & Lending Operations
APP0004,2026-01-21,Partner_C,Pune,Branch,Personal Loan,Credit Review,605839,9,SLA Breach,Pending,No,No,Not Required,10.3,0.0,Customer Journey Transformation
APP0005,2026-04-02,Partner_I,Pune,Partner,Personal Loan,Approved,748361,9,SLA Breach,Yes,No,No,Not Required,5.8,0.0,Customer Journey Transformation
APP0006,2026-05-14,Partner_H,Kolkata,Partner,Personal Loan,Application,872352,4,Within SLA,Pending,No,No,Not Required,12.1,0.0,Customer Journey Transformation
APP0007,2026-02-09,Partner_B,Bangalore,Website,Education Loan,Credit Review,3158505,4,Within SLA,Pending,No,No,Not Required,14.1,0.0,Partner Growth & Lending Operations
APP0008,2026-01-09,Partner_E,Ahmedabad,Referral,Credit Card,Documents,267851,9,SLA Breach,Pending,No,No,Passed,3.2,0.0,API Integration & GTM
APP0009,2026-02-10,Partner_H,Kolkata,Partner,Credit Card,Disbursed,89504,8,SLA Breach,Yes,Yes,No,Pending,13.2,118.15,API Integration & GTM
APP0010,2026-06-21,Partner_L,Bangalore,Branch,Consumer Loan,Application,419622,7,SLA Breach,Pending,No,No,Not Required,11.0,0.0,CRM & Operations Transformation
APP0011,2026-05-22,Partner_A,Mumbai,Branch,Personal Loan,Application,522525,3,Within SLA,Pending,No,No,Not Required,9.7,0.0,Customer Journey Transformation
APP0012,2026-05-12,Partner_J,Bangalore,Website,Personal Loan,Credit Review,303618,7,SLA Breach,Pending,No,No,Not Required,9.8,0.0,Customer Journey Transformation
APP0013,2026-03-07,Partner_K,Delhi,Partner,Consumer Loan,Application,354767,7,SLA Breach,Pending,No,No,Not Required,4.9,0.0,CRM & Operations Transformation
APP0014,2026-04-02,Partner_E,Chennai,Partner,Personal Loan,Credit Review,817595,4,Within SLA,Pending,No,Yes,Not Required,9.5,0.0,Customer Journey Transformation
APP0015,2026-06-04,Partner_A,Hyderabad,Digital Campaign,Personal Loan,Approved,187848,4,Within SLA,Yes,No,No,Not Required,6.7,0.0,Customer Journey Transformation
APP0016,2026-06-29,Partner_C,Bangalore,Partner,Personal Loan,Documents,215838,6,SLA Breach,Pending,No,No,Not Required,9.7,0.0,Customer Journey Transformation
APP0017,2026-03-22,Partner_D,Pune,Digital Campaign,Personal Loan,Application,815313,3,Within SLA,Pending,No,No,Not Required,6.4,0.0,Customer Journey Transformation
APP0018,2026-06-21,Partner_L,Chennai,Digital Campaign,Education Loan,Lead,769536,1,Within SLA,Pending,No,No,Not Required,4.7,0.0,Partner Growth & Lending Operations
APP0019,2026-04-26,Partner_G,Pune,Website,Personal Loan,Application,159751,1,Within SLA,Pending,No,No,Not Required,7.4,0.0,Customer Journey Transformation
APP0020,2026-05-27,Partner_A,Hyderabad,Website,Consumer Loan,Documents,81663,3,Within SLA,Pending,No,No,Not Required,11.1,0.0,CRM & Operations Transformation
APP0021,2026-01-11,Partner_D,Ahmedabad,Branch,Credit Card,Application,189752,1,Within SLA,Pending,No,No,Passed,13.1,0.0,API Integration & GTM
APP0022,2026-03-01,Partner_G,Kolkata,Partner,Education Loan,Disbursed,1054594,7,SLA Breach,Yes,Yes,No,Not Required,25.1,2647.03,Partner Growth & Lending Operations
APP0023,2026-02-17,Partner_L,Delhi,Digital Campaign,Education Loan,Disbursed,1741082,7,SLA Breach,Yes,Yes,No,Not Required,17.6,3064.3,Partner Growth & Lending Operations
APP0024,2026-04-22,Partner_F,Ahmedabad,Branch,Credit Card,Disbursed,210371,1,Within SLA,Yes,Yes,No,Pending,21.7,456.51,API Integration & GTM
APP0025,2026-06-10,Partner_B,Ahmedabad,Referral,Education Loan,Documents,2600021,3,Within SLA,Pending,No,No,Not Required,5.7,0.0,Partner Growth & Lending Operations
APP0026,2026-04-25,Partner_D,Ahmedabad,Website,Education Loan,Approved,1517026,1,Within SLA,Yes,No,No,Not Required,9.5,0.0,Partner Growth & Lending Operations
APP0027,2026-01-30,Partner_F,Chennai,Partner,Personal Loan,Documents,912645,8,SLA Breach,Pending,No,No,Not Required,12.5,0.0,Customer Journey Transformation
APP0028,2026-01-17,Partner_A,Delhi,Referral,Personal Loan,Application,779903,3,Within SLA,Pending,No,No,Not Required,12.2,0.0,Customer Journey Transformation
APP0029,2026-06-30,Partner_E,Chennai,Website,Consumer Loan,Documents,355352,5,Within SLA,Pending,No,Yes,Not Required,8.1,0.0,CRM & Operations Transformation
APP0030,2026-01-25,Partner_D,Kolkata,Digital Campaign,Personal Loan,Documents,318246,1,Within SLA,Pending,No,No,Not Required,5.0,0.0,Customer Journey Transformation
APP0031,2026-05-10,Partner_C,Ahmedabad,Branch,Personal Loan,Lead,816577,6,SLA Breach,Pending,No,No,Not Required,6.0,0.0,Customer Journey Transformation
APP0032,2026-06-02,Partner_I,Mumbai,Branch,Education Loan,Approved,867654,10,SLA Breach,Yes,No,No,Not Required,12.7,0.0,Partner Growth & Lending Operations
APP0033,2026-05-22,Partner_G,Hyderabad,Partner,Personal Loan,Approved,832355,1,Within SLA,Yes,No,No,Not Required,7.8,0.0,Customer Journey Transformation
APP0034,2026-05-05,Partner_L,Bangalore,Partner,Consumer Loan,Application,172038,6,SLA Breach,Pending,No,No,Not Required,4.9,0.0,CRM & Operations Transformation
APP0035,2026-03-01,Partner_A,Pune,Branch,Credit Card,Lead,234078,6,SLA Breach,Pending,No,No,Passed,12.9,0.0,API Integration & GTM
APP0036,2026-01-13,Partner_D,Chennai,Referral,Education Loan,Lead,949395,3,Within SLA,Pending,No,No,Not Required,11.7,0.0,Partner Growth & Lending Operations
APP0037,2026-04-27,Partner_C,Hyderabad,Referral,Consumer Loan,Documents,240706,10,SLA Breach,Pending,No,No,Not Required,3.3,0.0,CRM & Operations Transformation
APP0038,2026-03-30,Partner_L,Delhi,Website,Education Loan,Lead,1303328,2,Within SLA,Pending,No,No,Not Required,4.1,0.0,Partner Growth & Lending Operations
APP0039,2026-03-27,Partner_G,Ahmedabad,Partner,Credit Card,Credit Review,163429,7,SLA Breach,Pending,No,No,Passed,4.9,0.0,API Integration & GTM
APP0040,2026-06-25,Partner_E,Kolkata,Partner,Education Loan,Lead,4773085,4,Within SLA,Pending,No,No,Not Required,3.2,0.0,Partner Growth & Lending Operations
APP0041,2026-05-27,Partner_E,Kolkata,Partner,Credit Card,Lead,260677,5,Within SLA,Pending,No,Yes,Passed,3.2,0.0,API Integration & GTM
APP0042,2026-06-09,Partner_E,Delhi,Branch,Personal Loan,Application,101991,7,SLA Breach,Pending,No,Yes,Not Required,13.4,0.0,Customer Journey Transformation
APP0043,2026-03-06,Partner_B,Mumbai,Website,Consumer Loan,Approved,34000,3,Within SLA,Yes,No,No,Not Required,10.5,0.0,CRM & Operations Transformation
APP0044,2026-03-22,Partner_L,Delhi,Digital Campaign,Consumer Loan,Lead,330638,2,Within SLA,Pending,No,No,Not Required,10.4,0.0,CRM & Operations Transformation
APP0045,2026-03-16,Partner_J,Bangalore,Website,Credit Card,Documents,107458,9,SLA Breach,Pending,No,No,Passed,7.2,0.0,API Integration & GTM
APP0046,2026-06-26,Partner_E,Delhi,Referral,Consumer Loan,Documents,336569,5,Within SLA,Pending,No,No,Not Required,12.7,0.0,CRM & Operations Transformation
APP0047,2026-04-09,Partner_A,Kolkata,Partner,Credit Card,Approved,269798,5,Within SLA,Yes,No,No,Passed,11.9,0.0,API Integration & GTM
APP0048,2026-05-27,Partner_D,Ahmedabad,Digital Campaign,Education Loan,Documents,3764908,3,Within SLA,Pending,No,No,Not Required,3.1,0.0,Partner Growth & Lending Operations
APP0049,2026-02-22,Partner_D,Mumbai,Partner,Education Loan,Credit Review,1539458,9,SLA Breach,Pending,No,No,Not Required,5.6,0.0,Partner Growth & Lending Operations
APP0050,2026-05-26,Partner_E,Bangalore,Branch,Credit Card,Rejected,138461,10,SLA Breach,No,No,No,Pending,7.2,0.0,API Integration & GTM
APP0051,2026-05-17,Partner_J,Pune,Referral,Consumer Loan,Disbursed,467477,7,SLA Breach,Yes,Yes,No,Not Required,15.6,729.26,CRM & Operations Transformation
APP0052,2026-03-12,Partner_E,Delhi,Referral,Credit Card,Application,76962,8,SLA Breach,Pending,No,No,Passed,12.8,0.0,API Integration & GTM
APP0053,2026-01-19,Partner_F,Pune,Branch,Consumer Loan,Application,233196,6,SLA Breach,Pending,No,No,Not Required,6.0,0.0,CRM & Operations Transformation
APP0054,2026-01-01,Partner_B,Pune,Website,Education Loan,Approved,3676083,8,SLA Breach,Yes,No,No,Not Required,10.8,0.0,Partner Growth & Lending Operations
APP0055,2026-06-22,Partner_I,Kolkata,Partner,Credit Card,Credit Review,73960,8,SLA Breach,Pending,No,No,Passed,12.6,0.0,API Integration & GTM
APP0056,2026-05-26,Partner_E,Ahmedabad,Partner,Consumer Loan,Credit Review,222714,5,Within SLA,Pending,No,No,Not Required,11.3,0.0,CRM & Operations Transformation
APP0057,2026-01-16,Partner_A,Delhi,Partner,Education Loan,Approved,3795887,7,SLA Breach,Yes,No,No,Not Required,6.4,0.0,Partner Growth & Lending Operations
APP0058,2026-06-27,Partner_L,Delhi,Website,Consumer Loan,Documents,76427,4,Within SLA,Pending,No,No,Not Required,7.2,0.0,CRM & Operations Transformation
APP0059,2026-06-06,Partner_D,Ahmedabad,Website,Education Loan,Credit Review,4537776,9,SLA Breach,Pending,No,No,Not Required,12.8,0.0,Partner Growth & Lending Operations
APP0060,2026-04-19,Partner_F,Bangalore,Partner,Education Loan,Credit Review,1075278,9,SLA Breach,Pending,No,No,Not Required,14.2,0.0,Partner Growth & Lending Operations
APP0061,2026-03-27,Partner_F,Hyderabad,Website,Education Loan,Credit Review,4412942,1,Within SLA,Pending,No,No,Not Required,12.0,0.0,Partner Growth & Lending Operations
APP0062,2026-04-05,Partner_A,Bangalore,Website,Credit Card,Lead,58702,1,Within SLA,Pending,No,No,Passed,11.3,0.0,API Integration & GTM
APP0063,2026-01-01,Partner_G,Delhi,Digital Campaign,Credit Card,Approved,54809,10,SLA Breach,Yes,No,No,Passed,5.5,0.0,API Integration & GTM
APP0064,2026-04-28,Partner_A,Hyderabad,Referral,Consumer Loan,Disbursed,122193,8,SLA Breach,Yes,Yes,No,Not Required,20.0,244.39,CRM & Operations Transformation
APP0065,2026-03-26,Partner_A,Chennai,Partner,Credit Card,Rejected,175917,9,SLA Breach,No,No,No,Passed,8.0,0.0,API Integration & GTM
APP0066,2026-04-01,Partner_G,Chennai,Branch,Personal Loan,Approved,56949,2,Within SLA,Yes,No,No,Not Required,7.7,0.0,Customer Journey Transformation
